trial,observer,date,time,location,treatment,conspecificsIn1m,tailPresent,tailColor,initialPosition,sizecm,percentFoliage,windBeaufort,preHopN,preLookN,preOutOfSightN,preRunN,preWalkN,preOutOfSightTT,preHopRate,preLookRate,preRunRate,preWalkRate,preLocomotionRate,post15HopN,post15LookN,post15OutOfSightN,post15RunN,post15WalkN,post15OutOfSightTT,post15HopRate,post15LookRate,post15RunRate,post15WalkRate,post15LocomotionRate,lookRateDiff,locomotionRateDiff,SD,AD,FID,comments
110,ST,01_24_20,1034, Gump,silent,1,Y,1,litter,1.8,1,1,0,6,0,0,2,0,0,0.2,0,0.066666667,0.066666667,0,3,0,0,1,0,0,0.2,0,0.066666667,0.066666667,0,0,312,NA,217,
111,ST,01_24_20,1127, Gump,white,0,Y,1,litter,2.5,0.2,0,0,7,1,0,3,1011,0,0.241470903,0,0.10348753,0.10348753,0,5,0,0,0,0,0,0.333333333,0,0,0,0.091862431,-0.10348753,419,NA,143,
112,ST,01_24_20,1457, Gump,white,1,Y,1.5,ground,1.1,1,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,1,1,0,1,11628,0,0.296559905,0,0.296559905,0.296559905,0.129893238,0.296559905,315,NA,220,
113,ST,01_26_20,818, Gump,silent,2,Y,1.5,litter,2.7,100,0,0,14,2,0,7,1530,0,0.491745697,0,0.245872849,0.245872849,0,2,1,0,2,7046,0,0.251445813,0,0.251445813,0.251445813,-0.240299884,0.005572965,372,NA,NA,
114,ST,01_26_20,1350, Juice Factory,white,0,Y,1.5,coconut,2.1,20,1,0,4,0,0,0,0,0,0.133333333,0,0,0,1,3,1,0,3,4598,0.096135359,0.288406076,0,0.288406076,0.384541434,0.155072742,0.384541434,327,NA,188,
115,ST,01_26_20,1410, Juice Factory,silent,0,Y,1,litter,1.5,100,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,5,1,0,3,2901,0,0.413257294,0,0.247954376,0.247954376,0.379923961,0.247954376,336,NA,305,not sure if fled because incoming observer or if it just moved
116,ST,01_26_20,1420, Juice Factory,white,1,Y,2,litter,2.8,100,1,0,4,0,0,1,0,0,0.133333333,0,0.033333333,0.033333333,0,1,2,0,3,9679,0,0.187934599,0,0.563803796,0.563803796,0.054601265,0.530470463,380,NA,NA,out of sight for most of post
117,ST,01_28_20,841, Pineapple Plantation,silent,0,Y,1,litter,2.8,0.05,0,0,9,0,0,0,0,0,0.3,0,0,0,0,5,0,0,0,0,0,0.333333333,0,0,0,0.033333333,0,252,NA,224,
118,ST,01_28_20,901, Pineapple Plantation,white,0,Y,1.5,leaf,1.5,0.8,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.066666667,0,240,NA,84,
119,ST,01_28_20,1110, Pineapple Plantation,white,0,Y,1.5,litter,3.1,1,0,0,9,0,1,4,0,0,0.3,0.033333333,0.133333333,0.166666667,1,9,0,2,3,0,0.066666667,0.6,0.133333333,0.2,0.4,0.3,0.233333333,513,NA,380,skink started at normal distance then ran far during focal also there is a look at the very end of the pre that is not in the jwatcher focal because it was literally right at the end
120,ST,01_28_20,1346, Pineapple Plantation,white,0,Y,2.5,litter,2.2,0.75,0,0,3,0,0,0,0,0,0.1,0,0,0,0,8,1,0,3,113,0,0.537381608,0,0.201518103,0.201518103,0.437381608,0.201518103,248,NA,212,walk starts right when post starts
121,ST,01_28_20,1421, Pineapple Plantation,silent,0,Y,1,litter,2.1,1,0,0,4,0,0,0,0,0,0.133333333,0,0,0,0,3,0,0,0,0,0,0.2,0,0,0,0.066666667,0,380,NA,180,80 percent sure of focal because skink blended into background
122,ST,01_28_20,1452, Pineapple Plantation,white,0,Y,2.5,litter,1.7,1,0,0,11,0,0,4,0,0,0.366666667,0,0.133333333,0.133333333,0,3,0,0,0,0,0,0.2,0,0,0,-0.166666667,-0.133333333,283,NA,155,
123,ST,01_30_20,828, Pineapple Plantation,white,1,Y,2,branch,1.5,15,0,0,3,0,0,0,0,0,0.1,0,0,0,0,3,1,0,2,982,0,0.214010558,0,0.142673705,0.142673705,0.114010558,0.142673705,320,NA,76,unsure if missed a couple small looks during focal. Skink approx 80 cm off ground. Can hear guys drone or model airplane or whatever in the background but its faint
124,ST,01_30_20,855, Pineapple Plantation,silent,1,Y,1,ground,3,0,0,0,4,0,0,0,0,0,0.133333333,0,0,0,0,4,0,0,0,0,0,0.266666667,0,0,0,0.133333333,0,240,NA,194,unsure of species. Silvery light blue tail. May have started FID a couple seconds early or late because forgot to check time at start
125,ST,01_30_20,1024, Pineapple Plantation,white,0,Y,3,plant,2.5,0,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,7,2,0,4,6247,0,0.799725808,0,0.456986176,0.456986176,0.633059142,0.456986176,278,NA,230,music in background
126,ST,01_30_20,1046, Pineapple Plantation,silent,1,Y,1,litter,3.1,0,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0,0,265,NA,150,unsure of species. Silvery light blue tail 

